date,State,Confirmed,Recovered,Deceased,Other,Tested,Active
07-03-2020,Telangana,1,0,0,0,,1
07-03-2020,Tamil Nadu,1,0,0,0,,1
07-03-2020,India,34,3,0,0,,31
07-03-2020,Uttar Pradesh,8,0,0,0,,8
08-03-2020,Delhi,3,0,0,0,,3
08-03-2020,Haryana,14,0,0,0,,14
08-03-2020,Kerala,8,3,0,0,,5
08-03-2020,Ladakh,2,0,0,0,,2
08-03-2020,Rajasthan,2,0,0,0,,2
08-03-2020,Telangana,1,0,0,0,,1
08-03-2020,Tamil Nadu,1,0,0,0,,1
08-03-2020,India,39,3,0,0,,36
08-03-2020,Uttar Pradesh,8,0,0,0,,8
09-03-2020,Delhi,4,0,0,0,,4
09-03-2020,Haryana,14,0,0,0,,14
09-03-2020,Jammu and Kashmir,1,0,0,0,,1
09-03-2020,Karnataka,1,0,0,0,,1
09-03-2020,Kerala,9,3,0,0,,6
09-03-2020,Ladakh,2,0,0,0,,2
09-Mar-20,Maharashtra,2,0,0,0,,2
09-03-2020,Punjab,1,0,0,0,,1
09-03-2020,Rajasthan,2,0,0,0,,2
09-03-2020,Telangana,1,0,0,0,,1
09-03-2020,Tamil Nadu,1,0,0,0,,1
09-03-2020,India,48,3,0,0,,45
09-03-2020,Uttar Pradesh,10,0,0,0,,10
10-03-2020,Delhi,4,0,0,0,,4
10-03-2020,Haryana,14,0,0,0,,14
10-03-2020,Jammu and Kashmir,1,0,0,0,,1
10-03-2020,Karnataka,4,0,0,0,,4
10-03-2020,Kerala,17,3,0,0,,14
10-03-2020,Ladakh,2,0,0,0,,2
10-Mar-20,Maharashtra,5,0,0,0,,5
10-03-2020,Punjab,1,0,0,0,,1
10-03-2020,Rajasthan,3,0,0,0,,3
10-03-2020,Telangana,1,0,0,0,,1
10-03-2020,Tamil Nadu,1,0,0,0,,1
10-03-2020,India,63,3,0,0,,60
10-03-2020,Uttar Pradesh,10,0,0,0,,10
11-03-2020,Delhi,5,0,0,0,,5
11-03-2020,Haryana,14,0,0,0,,14
11-03-2020,Jammu and Kashmir,1,0,0,0,,1
11-03-2020,Karnataka,4,0,0,0,,4
11-03-2020,Kerala,17,3,0,0,,14
11-03-2020,Ladakh,3,0,0,0,,3
11-Mar-20,Maharashtra,11,0,0,0,,11
11-03-2020,Punjab,1,0,0,0,,1
11-03-2020,Rajasthan,3,0,0,0,,3
11-03-2020,Telangana,1,0,0,0,,1
11-03-2020,Tamil Nadu,1,0,0,0,,1
11-03-2020,India,71,3,0,0,,68
11-03-2020,Uttar Pradesh,10,0,0,0,,10
12-03-2020,Andhra Pradesh,1,0,0,0,,1
12-03-2020,Delhi,6,0,0,0,,6
12-03-2020,Haryana,14,0,0,0,,14
12-03-2020,Jammu and Kashmir,1,0,0,0,,1
12-03-2020,Karnataka,5,0,0,0,,5
12-03-2020,Kerala,19,3,0,0,,16
12-03-2020,Ladakh,3,0,0,0,,3
12-Mar-20,Maharashtra,14,0,0,0,,14
12-03-2020,Punjab,1,0,0,0,,1
12-03-2020,Rajasthan,3,0,0,0,,3
12-03-2020,Telangana,1,0,0,0,,1
12-03-2020,Tamil Nadu,1,0,0,0,,1
12-03-2020,India,81,3,0,0,,78
12-03-2020,Uttar Pradesh,12,0,0,0,,12
13-03-2020,Andhra Pradesh,1,0,0,0,,1
13-03-2020,Delhi,7,0,0,0,,7
13-03-2020,Haryana,14,0,0,0,,14
13-03-2020,Jammu and Kashmir,2,0,0,0,,2
13-03-2020,Karnataka,6,0,1,0,,5
13-03-2020,Kerala,22,3,0,0,,19
13-03-2020,Ladakh,3,0,0,0,,3
13-Mar-20,Maharashtra,17,0,0,0,,17
13-03-2020,Punjab,1,0,0,0,,1
13-03-2020,Rajasthan,3,0,0,0,,3
13-03-2020,Telangana,1,0,0,0,,1
13-03-2020,Tamil Nadu,1,0,0,0,,1
13-03-2020,India,91,3,1,0,6500,87
13-03-2020,Uttar Pradesh,13,0,0,0,,13
14-03-2020,Andhra Pradesh,1,0,0,0,,1
14-03-2020,Delhi,7,0,0,0,,7
14-03-2020,Himachal Pradesh,0,0,0,3,,-3
14-03-2020,Haryana,14,0,0,0,,14
14-03-2020,Jammu and Kashmir,2,0,0,0,,2
14-03-2020,Karnataka,6,0,1,0,,5
14-03-2020,Kerala,22,3,0,0,,19
14-03-2020,Ladakh,3,0,0,0,,3
14-Mar-20,Maharashtra,26,0,0,0,,26
14-03-2020,Punjab,1,0,0,0,,1
14-03-2020,Rajasthan,4,0,0,0,,4
14-03-2020,Telangana,2,0,0,0,,2
14-03-2020,Tamil Nadu,1,0,0,0,,1
14-03-2020,India,102,3,1,3,6500,95
14-03-2020,Uttar Pradesh,13,0,0,0,,13
15-03-2020,Andhra Pradesh,1,0,0,0,,1
15-03-2020,Delhi,7,0,0,0,,7
15-03-2020,Himachal Pradesh,0,0,0,3,,-3
15-03-2020,Haryana,14,0,0,0,,14
15-03-2020,Jammu and Kashmir,2,0,0,0,,2
15-03-2020,Karnataka,6,0,1,0,,5
15-03-2020,Kerala,24,3,0,0,,21
15-03-2020,Ladakh,3,0,0,0,,3
15-Mar-20,Maharashtra,32,0,0,0,,32
15-03-2020,Punjab,1,0,0,0,,1
15-03-2020,Rajasthan,4,0,0,0,,4
15-03-2020,Telangana,3,0,0,0,,3
15-03-2020,Tamil Nadu,1,0,0,0,,1
15-03-2020,India,112,3,1,3,6500,105
15-03-2020,Uttar Pradesh,13,0,0,0,,13
15-03-2020,Uttarakhand,1,0,0,0,,1
16-03-2020,Andhra Pradesh,1,0,0,0,,1
16-03-2020,Delhi,7,0,0,0,,7
16-03-2020,Himachal Pradesh,0,0,0,3,,-3
16-03-2020,Haryana,14,0,0,0,,14
16-03-2020,Jammu and Kashmir,3,0,0,0,,3
16-03-2020,Karnataka,7,0,1,0,,6
16-03-2020,Kerala,27,3,0,0,,24
16-03-2020,Ladakh,3,0,0,0,,3
16-Mar-20,Maharashtra,39,0,0,0,,39
16-03-2020,Odisha,1,0,0,0,,1
16-03-2020,Punjab,1,0,0,0,,1
16-03-2020,Rajasthan,4,0,0,0,,4
16-03-2020,Telangana,4,0,0,0,,4
16-03-2020,Tamil Nadu,1,0,0,0,,1
16-03-2020,India,126,3,1,3,6500,119
16-03-2020,Uttar Pradesh,13,0,0,0,,13
16-03-2020,Uttarakhand,1,0,0,0,,1
17-03-2020,Andhra Pradesh,1,0,0,0,,1
17-03-2020,Delhi,10,0,0,0,,10
17-03-2020,Himachal Pradesh,0,0,0,3,,-3
17-03-2020,Haryana,15,0,0,0,,15
17-03-2020,Jammu and Kashmir,3,0,0,0,,3
17-03-2020,Karnataka,11,0,1,0,,10
17-03-2020,Kerala,27,3,0,0,,24
17-03-2020,Ladakh,8,0,0,0,,8
17-Mar-20,Maharashtra,41,0,0,0,,41
17-03-2020,Odisha,1,0,0,0,,1
17-03-2020,Punjab,1,0,0,0,,1
17-03-2020,Puducherry,1,0,0,0,,1
17-03-2020,Rajasthan,4,0,0,0,,4
17-03-2020,Telangana,5,0,0,0,,5
17-03-2020,Tamil Nadu,1,0,0,0,,1
17-03-2020,India,146,3,1,3,6500,139
17-03-2020,Uttar Pradesh,15,0,0,0,,15
17-03-2020,Uttarakhand,1,0,0,0,,1
17-03-2020,West Bengal,1,0,0,0,,1
18-03-2020,Andhra Pradesh,1,0,0,0,,1
18-03-2020,Delhi,11,0,0,0,,11
18-03-2020,Himachal Pradesh,0,0,0,3,,-3
18-03-2020,Haryana,17,0,0,0,,17
18-03-2020,Jammu and Kashmir,4,0,0,0,,4
18-03-2020,Karnataka,14,0,1,0,,13
18-03-2020,Kerala,27,3,0,0,,24
18-03-2020,Ladakh,8,0,0,0,,8
18-Mar-20,Maharashtra,45,0,0,0,,45
18-03-2020,Odisha,1,0,0,0,,1
18-03-2020,Punjab,1,0,0,0,,1
18-03-2020,Puducherry,1,0,0,0,,1
18-03-2020,Rajasthan,7,0,0,0,,7
18-03-2020,Telangana,13,0,0,0,,13
18-03-2020,Tamil Nadu,2,0,0,0,,2
18-03-2020,India,171,3,1,3,13125,164
18-03-2020,Uttar Pradesh,17,0,0,0,,17
18-03-2020,Uttarakhand,1,0,0,0,,1
18-03-2020,West Bengal,1,0,0,0,,1
19-03-2020,Andhra Pradesh,3,0,0,0,,3
19-03-2020,Chandigarh,1,0,0,0,,1
19-03-2020,Chhattisgarh,1,0,0,0,,1
19-03-2020,Delhi,14,0,0,0,,14
19-03-2020,Gujarat,2,0,0,0,,2
19-03-2020,Himachal Pradesh,0,0,0,3,,-3
19-03-2020,Haryana,17,0,0,0,,17
19-03-2020,Jammu and Kashmir,4,0,0,0,,4
19-03-2020,Karnataka,15,0,1,0,,14
19-03-2020,Kerala,28,3,0,0,,25
19-03-2020,Ladakh,8,0,0,0,,8
19-Mar-20,Maharashtra,48,0,0,0,,48
19-03-2020,Odisha,2,0,0,0,,2
19-03-2020,Punjab,2,0,0,0,,2
19-03-2020,Puducherry,1,0,0,0,,1
19-03-2020,Rajasthan,9,0,0,0,,9
19-03-2020,Telangana,16,0,0,0,,16
19-03-2020,Tamil Nadu,3,0,0,0,,3
19-03-2020,India,198,3,1,3,14175,191
19-03-2020,Uttar Pradesh,20,0,0,0,,20
19-03-2020,Uttarakhand,3,0,0,0,,3
19-03-2020,West Bengal,1,0,0,0,,1
20-03-2020,Andhra Pradesh,3,0,0,0,,3
20-03-2020,Chandigarh,5,0,0,0,,5
20-03-2020,Chhattisgarh,1,0,0,0,,1
20-03-2020,Delhi,20,0,0,0,,20
20-03-2020,Gujarat,7,0,0,0,,7
20-03-2020,Himachal Pradesh,2,0,0,3,,-1
20-03-2020,Haryana,19,0,0,0,,19
20-03-2020,Jammu and Kashmir,4,0,0,0,,4
20-03-2020,Karnataka,15,1,1,0,,13
20-03-2020,Kerala,40,3,0,0,,37
20-03-2020,Ladakh,10,0,0,0,,10
20-Mar-20,Maharashtra,52,0,0,0,,52
20-03-2020,Madhya Pradesh,4,0,0,0,,4
20-03-2020,Odisha,2,0,0,0,,2
20-03-2020,Punjab,3,0,0,0,,3
20-03-2020,Puducherry,1,0,0,0,,1
20-03-2020,Rajasthan,17,0,0,0,,17
20-03-2020,Telangana,19,0,0,0,,19
20-03-2020,Tamil Nadu,3,0,0,0,,3
20-03-2020,India,256,4,1,3,15404,248
20-03-2020,Uttar Pradesh,24,0,0,0,,24
20-03-2020,Uttarakhand,3,0,0,0,,3
20-03-2020,West Bengal,2,0,0,0,,2
21-03-2020,Andhra Pradesh,5,0,0,0,,5
21-03-2020,Chandigarh,5,0,0,0,,5
21-03-2020,Chhattisgarh,1,0,0,0,,1
21-03-2020,Delhi,27,0,0,0,,27
21-03-2020,Gujarat,14,0,0,0,,14
21-03-2020,Himachal Pradesh,2,0,0,3,,-1
21-03-2020,Haryana,21,0,0,0,,21
21-03-2020,Jammu and Kashmir,4,0,0,0,,4
21-03-2020,Karnataka,20,1,1,0,,18
21-03-2020,Kerala,52,3,0,0,,49
21-03-2020,Ladakh,13,0,0,0,,13
21-Mar-20,Maharashtra,64,0,0,0,,64
21-03-2020,Madhya Pradesh,4,0,0,0,,4
21-03-2020,Odisha,2,0,0,0,,2
21-03-2020,Punjab,13,0,0,0,,13
21-03-2020,Puducherry,1,0,0,0,,1
21-03-2020,Rajasthan,24,0,0,0,,24
21-03-2020,Telangana,21,0,0,0,,21
21-03-2020,Tamil Nadu,6,0,0,0,,6
21-03-2020,India,334,4,1,3,16911,326
21-03-2020,Uttar Pradesh,28,0,0,0,,28
21-03-2020,Uttarakhand,3,0,0,0,,3
21-03-2020,West Bengal,4,0,0,0,,4
22-03-2020,Andhra Pradesh,6,0,0,0,,6
22-03-2020,Bihar,2,0,0,0,,2
22-03-2020,Chandigarh,6,0,0,0,,6
22-03-2020,Chhattisgarh,1,0,0,0,,1
22-03-2020,Delhi,28,0,0,0,,28
22-03-2020,Gujarat,18,0,0,0,,18
22-03-2020,Himachal Pradesh,2,0,0,3,,-1
22-03-2020,Haryana,21,0,0,0,,21
22-03-2020,Jammu and Kashmir,4,0,0,0,,4
22-03-2020,Karnataka,26,1,1,0,,24
22-03-2020,Kerala,67,3,0,0,,64
22-03-2020,Ladakh,13,0,0,0,,13
22-Mar-20,Maharashtra,74,0,0,0,,74
22-03-2020,Madhya Pradesh,6,0,0,0,,6
22-03-2020,Odisha,2,0,0,0,,2
22-03-2020,Punjab,21,0,0,0,,21
22-03-2020,Puducherry,1,0,0,0,,1
22-03-2020,Rajasthan,29,0,0,0,,29
22-03-2020,Telangana,27,0,0,0,,27
22-03-2020,Tamil Nadu,9,0,0,0,,9
22-03-2020,India,403,4,1,3,18127,395
22-03-2020,Uttar Pradesh,30,0,0,0,,30
22-03-2020,Uttarakhand,3,0,0,0,,3
22-03-2020,West Bengal,7,0,0,0,,7
23-03-2020,Andhra Pradesh,7,0,0,0,,7
23-03-2020,Bihar,3,0,0,0,,3
23-03-2020,Chandigarh,7,0,0,0,,7
23-03-2020,Chhattisgarh,1,0,0,0,,1
23-03-2020,Delhi,30,0,0,0,,30
23-03-2020,Gujarat,30,0,0,0,,30
23-03-2020,Himachal Pradesh,3,0,0,3,,0
23-03-2020,Haryana,28,0,0,0,,28
23-03-2020,Jammu and Kashmir,4,0,0,0,,4
23-03-2020,Karnataka,33,1,1,0,,31
23-03-2020,Kerala,95,3,0,0,,92
23-03-2020,Ladakh,13,0,0,0,,13
23-Mar-20,Maharashtra,89,0,0,0,,89
23-03-2020,Madhya Pradesh,6,0,0,0,,6
23-03-2020,Odisha,2,0,0,0,,2
23-03-2020,Punjab,23,0,0,0,,23
23-03-2020,Puducherry,1,0,0,0,,1
23-03-2020,Rajasthan,32,0,0,0,,32
23-03-2020,Telangana,33,0,0,0,,33
23-03-2020,Tamil Nadu,12,0,0,0,,12
23-03-2020,India,497,4,1,3,20707,489
23-03-2020,Uttar Pradesh,34,0,0,0,,34
23-03-2020,Uttarakhand,4,0,0,0,,4
23-03-2020,West Bengal,7,0,0,0,,7
24-03-2020,Andhra Pradesh,8,0,0,0,,8
24-03-2020,Bihar,3,0,0,0,,3
24-03-2020,Chandigarh,7,0,0,0,,7
24-03-2020,Chhattisgarh,1,0,0,0,,1
24-03-2020,Delhi,30,0,0,0,,30
24-03-2020,Gujarat,36,0,0,0,,36
24-03-2020,Himachal Pradesh,3,0,0,3,,0
24-03-2020,Haryana,30,0,0,0,,30
24-03-2020,Jammu and Kashmir,6,0,0,0,,6
24-03-2020,Karnataka,41,3,1,0,,37
24-03-2020,Kerala,109,3,0,0,,106
24-03-2020,Ladakh,13,0,0,0,,13
24-Mar-20,Maharashtra,107,0,0,0,,107
24-03-2020,Manipur,1,0,0,0,,1
24-03-2020,Madhya Pradesh,7,0,0,0,,7
24-03-2020,Odisha,2,0,0,0,,2
24-03-2020,Punjab,29,0,0,0,,29
24-03-2020,Puducherry,1,0,0,0,,1
24-03-2020,Rajasthan,32,0,0,0,,32
24-03-2020,Telangana,39,0,0,0,,39
24-03-2020,Tamil Nadu,18,0,0,0,,18
24-03-2020,India,571,6,1,3,22694,561
24-03-2020,Uttar Pradesh,35,0,0,0,,35
24-03-2020,Uttarakhand,4,0,0,0,,4
24-03-2020,West Bengal,9,0,0,0,,9
25-03-2020,Andhra Pradesh,10,0,0,0,,10
25-03-2020,Bihar,4,0,0,0,,4
25-03-2020,Chandigarh,7,0,0,0,,7
25-03-2020,Chhattisgarh,3,0,0,0,,3
25-03-2020,Delhi,35,0,0,0,,35
25-03-2020,Goa,3,0,0,0,,3
25-03-2020,Gujarat,38,0,0,0,,38
25-03-2020,Himachal Pradesh,3,0,0,3,,0
25-03-2020,Haryana,31,0,0,0,,31
25-03-2020,Jammu and Kashmir,11,0,0,0,,11
25-03-2020,Karnataka,51,3,1,0,,47
25-03-2020,Kerala,118,3,0,0,,115
25-03-2020,Ladakh,13,0,0,0,,13
25-Mar-20,Maharashtra,122,0,0,0,,122
25-03-2020,Manipur,1,0,0,0,,1
25-03-2020,Madhya Pradesh,15,0,0,0,,15
25-03-2020,Mizoram,1,0,0,0,,1
25-03-2020,Odisha,2,0,0,0,,2
25-03-2020,Punjab,31,0,0,0,,31
25-03-2020,Puducherry,1,0,0,0,,1
25-03-2020,Rajasthan,38,0,0,0,,38
25-03-2020,Telangana,41,0,0,0,,41
25-03-2020,Tamil Nadu,26,0,0,0,,26
25-03-2020,India,657,6,1,3,25144,647
25-03-2020,Uttar Pradesh,38,0,0,0,,38
25-03-2020,Uttarakhand,5,0,0,0,,5
25-03-2020,West Bengal,9,0,0,0,,9
26-03-2020,Andaman and Nicobar Islands,1,0,0,0,,1
26-03-2020,Andhra Pradesh,11,0,0,0,,11
26-03-2020,Bihar,7,0,0,0,,7
26-03-2020,Chandigarh,7,0,0,0,,7
26-03-2020,Chhattisgarh,6,0,0,0,,6
26-03-2020,Delhi,39,0,0,0,,39
26-03-2020,Goa,3,0,0,0,,3
26-03-2020,Gujarat,44,0,0,0,,44
26-03-2020,Himachal Pradesh,3,0,0,3,,0
26-03-2020,Haryana,32,0,0,0,,32
26-03-2020,Jammu and Kashmir,14,0,0,0,,14
26-03-2020,Karnataka,55,3,2,0,,50
26-03-2020,Kerala,137,3,0,0,,134
26-03-2020,Ladakh,13,0,0,0,,13
26-Mar-20,Maharashtra,125,0,0,0,,125
26-03-2020,Manipur,1,0,0,0,,1
26-03-2020,Madhya Pradesh,20,0,0,0,,20
26-03-2020,Mizoram,1,0,0,0,,1
26-03-2020,Odisha,3,0,0,0,,3
26-03-2020,Punjab,33,0,0,0,,33
26-03-2020,Puducherry,1,0,0,0,,1
26-03-2020,Rajasthan,43,0,0,0,,43
26-03-2020,Telangana,45,0,0,0,,45
26-03-2020,Tamil Nadu,29,0,0,0,,29
26-03-2020,India,730,6,2,3,27688,719
26-03-2020,Uttar Pradesh,42,0,0,0,,42
26-03-2020,Uttarakhand,5,0,0,0,,5
26-03-2020,West Bengal,10,0,0,0,,10
27-03-2020,Andaman and Nicobar Islands,6,0,0,0,,6
27-03-2020,Andhra Pradesh,13,0,0,0,,13
27-03-2020,Bihar,9,0,0,0,,9
27-03-2020,Chandigarh,8,0,0,0,,8
27-03-2020,Chhattisgarh,6,0,0,0,,6
27-03-2020,Delhi,40,0,0,0,,40
27-03-2020,Goa,3,0,0,0,,3
27-03-2020,Gujarat,47,0,0,0,,47
27-03-2020,Himachal Pradesh,3,0,0,3,,0
27-03-2020,Haryana,33,0,0,0,,33
27-03-2020,Jammu and Kashmir,20,0,0,0,,20
27-03-2020,Karnataka,64,5,3,0,,56
27-03-2020,Kerala,176,3,0,0,,173
27-03-2020,Ladakh,13,0,0,0,,13
27-Mar-20,Maharashtra,153,0,0,0,,153
27-03-2020,Manipur,1,0,0,0,,1
27-03-2020,Madhya Pradesh,29,0,0,0,,29
27-03-2020,Mizoram,1,0,0,0,,1
27-03-2020,Odisha,3,0,0,0,,3
27-03-2020,Punjab,38,0,0,0,,38
27-03-2020,Puducherry,1,0,0,0,,1
27-03-2020,Rajasthan,50,0,0,0,,50
27-03-2020,Telangana,59,0,0,0,,59
27-03-2020,Tamil Nadu,38,0,0,0,,38
27-03-2020,India,883,8,3,3,27688,869
27-03-2020,Uttar Pradesh,49,0,0,0,,49
27-03-2020,Uttarakhand,5,0,0,0,,5
27-03-2020,West Bengal,15,0,0,0,,15
28-03-2020,Andaman and Nicobar Islands,9,0,0,0,,9
28-03-2020,Andhra Pradesh,19,0,0,0,,19
28-03-2020,Bihar,11,0,0,0,,11
28-03-2020,Chandigarh,8,0,0,0,,8
28-03-2020,Chhattisgarh,7,0,0,0,,7
28-03-2020,Delhi,49,0,0,0,,49
28-03-2020,Goa,3,0,0,0,,3
28-03-2020,Gujarat,55,0,0,0,,55
28-03-2020,Himachal Pradesh,3,0,0,3,,0
28-03-2020,Haryana,35,0,0,0,,35
28-03-2020,Jammu and Kashmir,33,0,0,0,,33
28-03-2020,Karnataka,76,5,3,0,,68
28-03-2020,Kerala,182,3,0,0,,179
28-03-2020,Ladakh,13,0,0,0,,13
28-Mar-20,Maharashtra,181,0,0,0,,181
28-03-2020,Manipur,1,0,0,0,,1
28-03-2020,Madhya Pradesh,39,0,0,0,,39
28-03-2020,Mizoram,1,0,0,0,,1
28-03-2020,Odisha,3,0,0,0,,3
28-03-2020,Punjab,38,0,0,0,,38
28-03-2020,Puducherry,1,0,0,0,,1
28-03-2020,Rajasthan,54,0,0,0,,54
28-03-2020,Telangana,67,0,0,0,,67
28-03-2020,Tamil Nadu,42,0,0,0,,42
28-03-2020,India,1019,8,3,3,27688,1005
28-03-2020,Uttar Pradesh,65,0,0,0,,65
28-03-2020,Uttarakhand,6,0,0,0,,6
28-03-2020,West Bengal,18,0,0,0,,18
29-03-2020,Andaman and Nicobar Islands,9,0,0,0,,9
29-03-2020,Andhra Pradesh,21,1,0,0,,20
29-03-2020,Bihar,15,0,1,0,,14
29-03-2020,Chandigarh,8,0,0,0,,8
29-03-2020,Chhattisgarh,7,0,0,0,,7
29-03-2020,Delhi,72,6,2,0,,64
29-03-2020,Goa,5,0,0,0,,5
29-03-2020,Gujarat,63,1,5,0,,57
29-03-2020,Himachal Pradesh,3,1,1,3,,-2
29-03-2020,Haryana,35,14,0,0,,21
29-03-2020,Jammu and Kashmir,38,1,1,0,,36
29-03-2020,Karnataka,83,5,3,0,,75
29-03-2020,Kerala,202,20,1,0,,181
29-03-2020,Ladakh,13,3,0,0,,10
29-Mar-20,Maharashtra,203,25,8,0,,170
29-03-2020,Manipur,1,0,0,0,,1
29-03-2020,Madhya Pradesh,39,0,2,0,,37
29-03-2020,Mizoram,1,0,0,0,,1
29-03-2020,Odisha,3,0,0,0,,3
29-03-2020,Punjab,38,1,1,0,,36
29-03-2020,Puducherry,1,0,0,0,,1
29-03-2020,Rajasthan,59,3,0,0,,56
29-03-2020,Telangana,70,1,1,0,,68
29-03-2020,Tamil Nadu,50,4,1,0,,45
29-03-2020,India,1139,99,28,3,27688,1009
29-03-2020,Uttar Pradesh,72,11,0,0,,61
29-03-2020,Uttarakhand,7,2,0,0,,5
29-03-2020,West Bengal,21,0,1,0,,20
30-03-2020,Andaman and Nicobar Islands,10,0,0,0,,10
30-03-2020,Andhra Pradesh,23,1,0,0,,22
30-03-2020,Bihar,15,0,1,0,,14
30-03-2020,Chandigarh,13,0,0,0,,13
30-03-2020,Chhattisgarh,8,0,0,0,,8
30-03-2020,Delhi,97,6,2,0,,89
30-03-2020,Goa,5,0,0,0,,5
30-03-2020,Gujarat,70,3,6,0,,61
30-03-2020,Himachal Pradesh,3,1,1,3,,-2
30-03-2020,Haryana,36,20,0,0,,16
30-03-2020,Jammu and Kashmir,49,1,1,0,,47
30-03-2020,Karnataka,88,6,3,0,,79
30-03-2020,Kerala,234,20,1,0,,213
30-03-2020,Ladakh,13,3,0,0,,10
30-Mar-20,Maharashtra,220,39,10,0,,171
30-03-2020,Manipur,1,0,0,0,,1
30-03-2020,Madhya Pradesh,47,0,4,0,,43
30-03-2020,Mizoram,1,0,0,0,,1
30-03-2020,Odisha,3,0,0,0,,3
30-03-2020,Punjab,41,1,3,0,,37
30-03-2020,Puducherry,1,0,0,0,,1
30-03-2020,Rajasthan,79,3,0,0,,76
30-03-2020,Telangana,77,14,6,0,,57
30-03-2020,Tamil Nadu,67,4,1,0,,62
30-03-2020,India,1326,141,41,3,38442,1141
30-03-2020,Uttar Pradesh,96,17,0,0,,79
30-03-2020,Uttarakhand,7,2,0,0,,5
30-03-2020,West Bengal,22,0,2,0,,20
31-03-2020,Andaman and Nicobar Islands,10,0,0,0,,10
31-03-2020,Andhra Pradesh,44,1,0,0,,43
31-03-2020,Assam,1,0,0,0,,1
31-03-2020,Bihar,21,0,1,0,,20
31-03-2020,Chandigarh,15,0,0,0,,15
31-03-2020,Chhattisgarh,9,2,0,0,,7
31-03-2020,Delhi,120,6,2,0,,112
31-03-2020,Goa,5,0,0,0,,5
31-03-2020,Gujarat,74,5,6,0,,63
31-03-2020,Himachal Pradesh,3,1,1,3,,-2
31-03-2020,Haryana,43,24,0,0,,19
31-03-2020,Jharkhand,1,0,0,0,,1
31-03-2020,Jammu and Kashmir,55,1,2,0,,52
31-03-2020,Karnataka,101,8,3,0,,90
31-03-2020,Kerala,241,24,2,0,,215
31-03-2020,Ladakh,13,3,0,0,,10
31-Mar-20,Maharashtra,302,39,11,0,,252
31-03-2020,Manipur,1,0,0,0,,1
31-03-2020,Madhya Pradesh,66,0,5,0,,61
31-03-2020,Mizoram,1,0,0,0,,1
31-03-2020,Odisha,4,0,0,0,,4
31-03-2020,Punjab,42,1,4,0,,37
31-03-2020,Puducherry,1,0,0,0,,1
31-03-2020,Rajasthan,93,3,0,0,,90
31-03-2020,Telangana,97,14,6,0,,77
31-03-2020,Tamil Nadu,124,6,1,0,,117
31-03-2020,India,1635,160,47,3,42788,1425
31-03-2020,Uttar Pradesh,104,17,0,0,,87
31-03-2020,Uttarakhand,7,2,0,0,,5
31-03-2020,West Bengal,37,3,3,0,,31
01-04-2020,Andaman and Nicobar Islands,10,0,0,0,,10
01-04-2020,Andhra Pradesh,111,2,0,0,,109
01-04-2020,Assam,16,0,0,0,,16
01-04-2020,Bihar,24,0,1,0,,23
01-04-2020,Chandigarh,17,0,0,0,,17
01-04-2020,Chhattisgarh,9,2,0,0,,7
01-04-2020,Delhi,152,6,2,0,2621,144
01-04-2020,Goa,5,0,0,0,,5
01-04-2020,Gujarat,87,5,6,0,,76
01-04-2020,Himachal Pradesh,3,1,1,3,,-2
01-04-2020,Haryana,43,27,0,0,,16
01-04-2020,Jharkhand,1,0,0,0,,1
01-04-2020,Jammu and Kashmir,62,2,2,0,,58
01-04-2020,Karnataka,110,9,3,0,,98
